{\rtf1\ansi\ansicpg1252\cocoartf2638
\cocoatextscaling0\cocoaplatform0{\fonttbl}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
}2023-03-19 19:14:29,627 - root - INFO - Robot ready
2023-03-19 19:14:48,621 - transitions.core - INFO - Finished processing state idle exit callbacks.
2023-03-19 19:14:48,621 - transitions.core - INFO - Finished processing state new_action enter callbacks.
2023-03-19 19:14:48,624 - transitions.core - INFO - Finished processing state new_action exit callbacks.
2023-03-19 19:14:48,624 - transitions.core - INFO - Finished processing state running enter callbacks.
2023-03-19 19:14:48,624 - root - INFO - say Hi, my name is Yanshee. Nice to meet you!
2023-03-19 19:15:55,313 - root - INFO - Robot ready
2023-03-19 19:15:57,184 - transitions.core - INFO - Finished processing state idle exit callbacks.
2023-03-19 19:15:57,184 - transitions.core - INFO - Finished processing state new_action enter callbacks.
2023-03-19 19:15:57,194 - transitions.core - INFO - Finished processing state new_action exit callbacks.
2023-03-19 19:15:57,195 - transitions.core - INFO - Finished processing state running enter callbacks.
2023-03-19 19:15:57,195 - root - INFO - say Hi, my name is Yanshee. Nice to meet you!
2023-03-19 19:15:57,195 - root - INFO - volume: 50.0
2023-03-19 19:15:59,199 - transitions.core - INFO - Finished processing state running exit callbacks.
2023-03-19 19:15:59,199 - transitions.core - INFO - Finished processing state idle enter callbacks.
2023-03-19 19:15:59,324 - transitions.core - INFO - Finished processing state idle exit callbacks.
2023-03-19 19:15:59,324 - transitions.core - INFO - Finished processing state new_action enter callbacks.
2023-03-19 19:15:59,335 - transitions.core - INFO - Finished processing state new_action exit callbacks.
2023-03-19 19:15:59,336 - transitions.core - INFO - Finished processing state running enter callbacks.
2023-03-19 19:15:59,336 - root - INFO - say I wanna sleep!
2023-03-19 19:15:59,336 - root - INFO - volume: 50.0
2023-03-19 19:16:01,341 - transitions.core - INFO - Finished processing state running exit callbacks.
2023-03-19 19:16:01,342 - transitions.core - INFO - Finished processing state idle enter callbacks.
2023-03-19 19:16:01,422 - transitions.core - INFO - Finished processing state idle exit callbacks.
2023-03-19 19:16:01,423 - transitions.core - INFO - Finished processing state new_action enter callbacks.
2023-03-19 19:16:01,433 - transitions.core - INFO - Finished processing state new_action exit callbacks.
2023-03-19 19:16:01,433 - transitions.core - INFO - Finished processing state running enter callbacks.
2023-03-19 19:16:01,434 - root - INFO - mode sleep
2023-03-19 19:16:01,434 - transitions.core - INFO - Finished processing state running exit callbacks.
2023-03-19 19:16:01,434 - transitions.core - INFO - Finished processing state idle enter callbacks.
